Month,pno_pri
2021-08,"1,165.10"
2021-09,"1,168.45"
2021-10,"1,129.08"
2021-11,"1,036.17"
2021-12,"1,036.17"
2021-01,"1,029.16"
2021-02,993.18
2021-03,961.89
2021-04,936.96
2021-05,936.96
2021-06,957.01
2021-07,990.51
2021-08,"1,041.92"
2021-09,"1,079.22"
2021-10,"1,102.31"
2021-11,"1,102.31"
2021-12,"1,102.31"
2021-01,"1,071.64"
2021-02,"1,016.33"
2021-03,"1,055.21"
2021-04,"1,078.17"
2021-05,"1,169.41"
2021-06,"1,268.18"
2021-07,"1,404.95"
2021-08,"1,472.30"
2021-09,"1,523.39"
2021-10,"1,633.34"
2021-11,"1,829.84"
2021-12,"1,978.91"
2021-01,"1,984.16"
2021-02,"1,984.16"
2021-03,"2,075.49"
2021-04,"2,126.46"
2021-05,"2,253.22"
2021-06,"2,332.70"
2021-07,"2,425.08"
2021-08,"2,427.18"
2021-09,"2,313.85"
2021-10,"2,119.44"
2021-11,"1,933.45"
2021-12,"1,761.69"
2021-01,"1,619.87"
2021-02,"1,543.24"
2021-03,"1,535.22"
2021-04,"1,433.00"
2021-05,"1,406.55"
2021-06,"1,338.81"
2021-07,"1,322.77"
2021-08,"1,310.18"
2021-09,"1,232.58"
2021-10,"1,155.42"
2021-11,"1,151.65"
2021-12,"1,181.87"
2021-01,"1,275.53"
2021-02,"1,287.50"
2021-03,"1,317.02"
2021-04,"1,361.62"
2021-05,"1,366.87"
2021-06,"1,366.87"
2021-07,"1,366.87"
2021-08,"1,383.90"
2021-09,"1,426.71"
2021-10,"1,471.32"
2021-11,"1,543.24"
2021-12,"1,644.45"
2021-01,"1,653.47"
2021-02,"1,653.47"
2021-03,"1,637.17"
2021-04,"1,631.42"
2021-05,"1,632.47"
2021-06,"1,700.57"
2021-07,"1,945.58"
2021-08,"2,076.18"
2021-09,"2,113.43"
2021-10,"2,116.44"
2021-11,"2,116.44"
2021-12,"2,116.44"
2021-01,"2,116.44"
2021-02,"2,116.44"
2021-03,"2,138.48"
2021-04,"2,274.96"
2021-05,"2,408.05"
2021-06,"2,425.08"
2021-07,"2,450.28"
2021-08,"2,469.18"
2021-09,"2,469.18"
2021-10,"2,469.18"
2021-11,"2,469.18"
2021-12,"2,502.25"
2021-01,"2,270.76"
2021-02,"1,821.71"
2021-03,"1,763.70"
2021-04,"1,763.70"
2021-05,"1,780.73"
2021-06,"1,807.79"
2021-07,"1,816.31"
2021-08,"1,807.79"
2021-09,"1,797.87"
2021-10,"1,764.66"
2021-11,"1,754.88"
2021-12,"1,697.56"
2021-01,"1,560.64"
2021-02,"1,409.80"
2021-03,"1,366.87"
2021-04,"1,366.87"
2021-05,"1,366.87"
2021-06,"1,366.87"
2021-07,"1,373.38"
2021-08,"1,388.91"
2021-09,"1,388.91"
2021-10,"1,388.91"
2021-11,"1,388.91"
2021-12,"1,372.88"
2021-01,"1,350.33"
2021-02,"1,344.82"
2021-03,"1,344.82"
2021-04,"1,344.82"
2021-05,"1,344.82"
2021-06,"1,365.86"
2021-07,"1,388.91"
2021-08,"1,392.06"
2021-09,"1,399.94"
2021-10,"1,399.94"
2021-11,"1,413.16"
2021-12,"1,446.03"
2021-01,"1,359.90"
2021-02,"1,317.26"
2021-03,"1,300.73"
2021-04,"1,314.38"
2021-05,"1,322.77"
2021-06,"1,365.86"
2021-07,"1,415.37"
2021-08,"1,433.00"
2021-09,"1,433.00"
2021-10,"1,433.00"
2021-11,"1,433.00"
2021-12,"1,439.30"
2021-01,"1,427.78"
2021-02,"1,359.90"
2021-03,"1,398.98"
2021-04,"1,421.40"
2021-05,"1,453.05"
2021-06,"1,463.07"
2021-07,"1,496.94"
2021-08,"1,510.17"
2021-09,"1,504.65"
2021-10,"1,481.11"
2021-11,"1,502.29"
2021-12,"1,510.17"
2021-01,"1,433.00"
2021-02,"1,433.00"
2021-03,"1,435.63"
2021-04,"1,444.03"
2021-05,"1,444.03"
2021-06,"1,461.87"
2021-07,"1,477.10"
2021-08,"1,477.10"
2021-09,"1,442.29"
2021-10,"1,433.63"
2021-11,"1,438.26"
2021-12,"1,434.58"
2021-01,"1,379.77"
2021-02,"1,370.06"
2021-03,"1,370.38"
2021-04,"1,377.61"
2021-05,"1,392.89"
2021-06,"1,391.97"
2021-07,"1,437.71"
2021-08,"1,457.89"
2021-09,"1,458.25"
2021-10,"1,458.53"
2021-11,"1,388.47"
2021-12,"1,457.89"
2021-01,"1,492.61"
2021-02,"1,393.46"
2021-03,"1,412.91"
2021-04,"1,527.27"
2021-05,"1,588.02"
2021-06,"1,712.82"
2021-07,"1,876.87"
2021-08,"1,876.96"
2021-09,"1,880.71"
2021-10,"1,877.59"
2021-11,"1,878.61"
